# Topology search, feed 10 ft. Generated by tools/topology_search.py.
# Slopers: parcel NOT enforced (operator's choice). V and L: supports on the lot.
# 3b_* = 40+20+15 m over 75 cells; w_* = 40+20 m over 50 cells. Ranked cells, regions, dBi.
# model: slant = METHOD.md s9 (LOW); hybrid = inverted-L, NEW and UNVALIDATED.
# No model includes tree absorption.
group,key,family,model,bend_deg,trust,max_anchor_ft,parcel,3b_dBi,3b_cells,3b_regions,3b_worst,w_dBi,w_cells,w_regions,w_worst,80m_dBi,80m_n,40m_dBi,40m_n,20m_dBi,20m_n,15m_dBi,15m_n,10m_dBi,10m_n,supports,label
40+20:pool,W-L1,inverted-L,"hybrid §3+§9 (UNVALIDATED)",90,OVERSTATED,46,"on the lot",-1.27,53,25,-24.4,-1.62,42,25,-22.2,-2.69,25,-1.98,24,-1.28,18,-0.64,11,-1.10,10,"feed 10ft; support top 46ft 89ft@237M; hanging end 12ft 89ft@237M","Inverted-L, rising to 46 ft 89 ft out at 237°M, then 34 ft hanging down"
40+20:pool,W-L2,inverted-L,"hybrid §3+§9 (UNVALIDATED)",90,OVERSTATED,56,"on the lot",-1.81,50,25,-26.6,-1.72,40,25,-19.5,-2.72,24,-1.85,24,-1.60,16,-2.00,10,-1.33,17,"feed 10ft; support top 56ft 85ft@15M; hanging end 23ft 85ft@15M","Inverted-L, rising to 56 ft 85 ft out at 15°M, then 33 ft hanging down"
40+20:pool,W-L3,inverted-L,"hybrid §3+§9 (UNVALIDATED)",90,OVERSTATED,52,"on the lot, inside the 5 m setback",-1.20,56,24,-54.8,-1.46,40,24,-46.6,-3.01,22,-2.53,22,-0.60,18,-0.71,16,-2.03,11,"feed 10ft; support top 52ft 75ft@155M; hanging end 9ft 75ft@155M","Inverted-L, rising to 52 ft 75 ft out at 155°M, then 43 ft hanging down"
40+20:pool,W-SL1,sloper,"slant (§9, LOW)",0,OK,98,"tree top 17 ft past the south line",-2.38,48,24,-82.6,-1.92,37,24,-74.4,-4.87,15,-4.13,15,-0.47,22,-3.47,11,-5.04,11,"feed 10ft; tree top 98ft 95ft@153M","Sloper, feed 10 ft to a 98 ft support 95 ft out at 153°M"
40+20:pool,F10-G,sloper,"slant (§9, LOW)",0,OK,105,"on the lot",-3.05,49,25,-44.9,-3.19,35,25,-34.5,-5.21,14,-4.46,14,-2.21,21,-2.79,14,-1.15,17,"feed 10ft; tree top 105ft 88ft@10M","BEST single-support sloper with a 10 ft feed"
40+20:pool,W-SL2,sloper,"slant (§9, LOW)",0,OK,105,"on the lot",-3.05,49,25,-44.9,-3.19,35,25,-34.5,-5.21,14,-4.46,14,-2.21,21,-2.79,14,-1.15,17,"feed 10ft; tree top 105ft 88ft@10M","Sloper, feed 10 ft to a 105 ft support 88 ft out at 10°M"
40+20:pool,W-SL3,sloper,"slant (§9, LOW)",0,OK,116,"tree top 5 ft past the south line",-3.90,43,25,-57.4,-3.52,34,24,-39.7,-4.18,19,-3.63,18,-3.42,16,-4.76,9,-6.22,7,"feed 10ft; tree top 116ft 75ft@180M","Sloper, feed 10 ft to a 116 ft support 75 ft out at 180°M"
40+20:pool,T30,sloper,"slant (§9, LOW)",0,OK,89,"tree top 39 ft past the south line",-0.63,49,24,-45.4,-0.93,33,23,-45.4,-5.01,10,-3.89,12,0.81,21,-0.09,16,-1.41,10,"feed 24ft; tree top 89ft 113ft@161M","Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
40+20:pool,C-BACK-X,sloper,"slant (§9, LOW)",0,OK,110,"tree top 8 ft past the south line",-2.02,48,24,-48.9,-1.91,33,22,-48.9,-4.62,17,-3.68,15,-0.65,18,-2.27,15,-2.11,11,"feed 24ft; tree top 110ft 98ft@140M","Sloper, rotation locked to the BACKYARD-corner bearing (155T), parcel IGNORED"
40+20:pool,W-F10A,bent flat-top,"bent wire (§3/§4)",47,OK,50,"on the lot",0.06,54,24,-36.6,-1.30,33,21,-36.6,-7.38,4,-3.24,12,0.04,21,1.93,21,1.70,21,"feed 10ft; apex tree 50ft 53ft@67M; far support 50ft 77ft@50M; end 30ft 100ft@42M","F10-A with leg 2 re-aimed to 20°M for 40+20 m"
